ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,MTurkCode,MID,site,Q_TotalDuration,condition,consent,attn_check_1_1,attn_check_1_2,attn_check_1_3,attn_check_1_4,attn_check_1_5,attn_check_1_6,attn_check_1_7,RFQ_M_1,RFQ_M_2,RFQ_M_3,RFQ_M_4,RFQ_M_5,RFQ_M_6,RFQ_M_7,RFQ_M_8,RFQ_M_9,RFQ_M_10,RFQ_M_11,RFQ_M_12,RFQ_M_13,RFQ_M_14,RFQ_M_15,site_choice,profile_num,profile_interest_num,attn_check_2,overall_engagement_1,overall_engagement_2,overall_engagement_3,overall_engagement_4,overall_engagement_5,overall_ease_1,overall_ease_2,overall_ease_3,overall_ease_4,overall_ease_5,overall_success_1,overall_success_2,overall_success_3,overall_success_4,overall_success_5,overall_success_6,overall_partner_1,overall_partner_2,overall_partner_3,overall_partner_4,overall_partner_5,overall_partner_6,overall_partner_7,overall_partner_8,attn_check_3,strategy_engagement_1,strategy_engagement_2,strategy_engagement_3,strategy_ease_1,strategy_ease_2,strategy_ease_3,strategy_ease_4,strategy_success_1,strategy_success_2,strategy_success_3,age,gender,gender-TEXT,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,ethnicity_7,ethnicity_8,ethnicity_9,ethnicity_10,ethnicity_11,education,activity_1,activity_2,activity_3,activity_4,activity_5,activity_6,activity_7,activity_8,compliance,careful_response,honest_response,debrief_concerns,debriefing,X136,duplicate,attn_check_1,attn_check,var_response,var_low,exclusion,prevention,promotion,engage,ease,fit_success,fit_partner,fit_strategy_engage,fit_strategy_ease,fit_strategy_success
R_1MTnYEyRiGQD0Q8,Default Response Set,Anonymous,NA,NA,142.1.19.26,0,2018-09-05T08:32:43Z,2018-09-05T08:33:02Z,0,50719527,NA,"Coffee Meets Bagel, OkCupid",19,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonduplicated,0,fail,NA,acceptable,ineligible,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
R_0Ht0KuZzdBsffMt,Default Response Set,Anonymous,NA,NA,196.17.66.23,0,2018-09-21T10:51:38Z,2018-09-21T11:11:16Z,1,73524825,7e6f2e12,"Chemistry, eHarmony, Grindr, Plenty of Fish, Pure, Zoosk",1177,1,1,NA,NA,NA,NA,1,NA,NA,6,6,5,5,6,5,6,6,5,4,4,6,5,6,5,pof,8,100,5,6,6,5,6,5,5,4,5,6,5,6,4,5,5,5,5,4,4,4,6,5,5,6,6,9,4,6,5,6,5,5,6,6,5,5,29,female,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,GOOD,1,NA,nonduplicated,1,fail,2.6766666666666667,acceptable,ineligible,5.571428571428571,5.125,5.666666666666667,3.6666666666666665,4.666666666666667,5,4.333333333333333,4,5.333333333333333
R_20VuGK8QKuPs2eC,Default Response Set,Anonymous,NA,NA,40.130.207.214,0,2018-09-21T10:58:46Z,2018-09-21T11:13:14Z,1,35061970,23f83767,Plenty of Fish,867,0,1,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,5,2,2,6,6,7,6,6,7,6,7,pof,18,2,2,7,7,5,1,7,7,2,3,6,1,5,5,5,3,6,6,7,6,7,5,7,7,5,4,10,6,6,2,7,7,2,1,6,7,5,43,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,Thanks for the HIT!  I did my best and hope the data is useful!,1,NA,nonduplicated,0,pass,7.41,acceptable,eligible,2.5714285714285716,6.375,6.333333333333333,6.333333333333333,5.333333333333333,6,6,6.75,6
R_1pybLjKkviu870I,Default Response Set,Anonymous,NA,NA,68.42.119.188,0,2018-09-21T11:46:03Z,2018-09-21T12:01:19Z,1,52142441,aa6b1953,"OkCupid, Tinder",916,1,1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,6,1,2,4,5,7,6,7,7,7,6,okc,14,2,2,7,7,6,3,5,7,1,1,7,1,7,7,7,1,7,7,7,5,7,5,7,7,7,5,10,7,6,1,7,7,1,1,5,7,6,31,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,1,1,1,1,NA,1,NA,nonduplicated,0,pass,9.823333333333334,acceptable,eligible,2,6.125,6.666666666666667,7,7,6.25,6.666666666666667,7,6
R_ZBLG76zYD16x4hX,Default Response Set,Anonymous,NA,NA,75.129.255.11,0,2018-09-21T12:34:08Z,2018-09-21T12:49:55Z,1,8407262,7da1a256,OkCupid,947,1,1,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,5,2,2,6,6,6,5,6,6,6,5,okc,6,0,2,6,6,2,2,6,6,2,1,6,2,2,1,6,5,1,1,1,1,1,1,1,1,1,1,10,6,2,1,7,7,1,1,5,6,1,36,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,nonduplicated,0,pass,6.723333333333334,acceptable,eligible,2.2857142857142856,5.75,4.666666666666667,6.333333333333333,2.3333333333333335,1,5,7,4
R_uxDnjdKCuoAuFAR,Default Response Set,Anonymous,NA,NA,73.55.100.32,0,2018-09-21T13:05:37Z,2018-09-21T13:22:52Z,1,21395866,f963d217,"OkCupid, Match.com/ca, Tinder",1035,0,1,NA,NA,NA,NA,NA,NA,NA,2,5,5,6,6,5,5,3,6,6,6,4,5,6,3,okc,5,2,2,6,7,7,6,5,6,1,1,7,2,6,5,6,1,6,6,6,6,6,6,6,6,6,6,10,2,2,6,2,1,5,5,2,2,2,38,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,none,1,NA,nonduplicated,0,pass,2.3766666666666665,acceptable,eligible,4.857142857142857,4.875,6.666666666666667,6.333333333333333,6,6,2,2.25,2
R_RPON48FZR9nXZpD,Default Response Set,Anonymous,NA,NA,67.1.205.102,0,2018-09-21T13:57:51Z,2018-09-21T14:18:17Z,1,47117611,ff3028f1,OkCupid,1226,0,1,NA,NA,NA,NA,1,NA,NA,5,5,5,4,6,4,6,5,6,5,6,4,6,6,6,okc,10,3,2,5,6,4,6,4,6,2,2,6,2,5,5,5,5,5,5,3,5,5,4,5,5,6,4,10,2,2,6,2,2,6,6,2,2,3,29,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,nonduplicated,1,fail,1.9766666666666666,acceptable,ineligible,5,5.5,5,6,4.666666666666667,4.625,2,2,2.3333333333333335
R_246QjJC3qUkQieB,Default Response Set,Anonymous,NA,NA,68.63.166.178,0,2018-09-21T15:01:15Z,2018-09-21T15:24:12Z,1,55963653,1e01aa41,OkCupid,1377,1,1,NA,NA,NA,NA,NA,NA,NA,4,6,2,5,6,5,4,5,6,6,4,4,6,7,5,okc,10,2,2,7,7,7,2,6,7,1,2,7,1,7,6,7,2,6,6,7,7,7,7,7,7,7,7,10,7,7,1,7,7,1,1,7,7,6,30,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,nonduplicated,0,pass,6.3566666666666665,acceptable,eligible,4.571428571428571,5.375,7,6.666666666666667,6.333333333333333,7,7,7,6.666666666666667
R_3e9NKZbUZOsFart,Default Response Set,Anonymous,NA,NA,23.229.117.124,0,2018-09-21T17:28:44Z,2018-09-21T17:48:53Z,1,73450498,3a8b925d,"OkCupid, eHarmony, Plenty of Fish",1209,0,1,NA,NA,NA,NA,NA,NA,1,6,7,7,6,7,6,7,7,7,7,6,7,7,7,7,okc,10,7,2,7,6,7,6,6,7,7,1,7,1,7,6,7,6,7,7,7,7,7,7,7,7,7,7,10,7,7,6,7,6,2,2,7,7,7,28,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NICE STUDY. EXCELLENT REVIEW.,1,NA,nonduplicated,1,fail,2.756666666666667,acceptable,ineligible,6.571428571428571,6.875,6.666666666666667,7,6,7,5.333333333333333,6.25,7
R_1i23qHmn1CRECmG,Default Response Set,Anonymous,NA,NA,99.186.250.223,0,2018-09-21T20:53:14Z,2018-09-21T21:51:29Z,1,37373216,3c168a57,Plenty of Fish,3494,1,1,NA,NA,NA,NA,NA,NA,NA,2,4,3,5,5,4,3,6,6,4,5,5,6,6,6,pof,5,3,2,7,7,7,1,6,7,4,1,6,1,7,6,7,1,6,4,6,6,6,6,6,6,6,5,10,6,6,1,6,6,2,2,5,6,6,31,female,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,i had no problems with the survey,1,NA,nonduplicated,0,pass,4.723333333333334,acceptable,eligible,3.7142857142857144,5.5,7,7,6.166666666666667,5.875,6.333333333333333,6,5.666666666666667
