ResponseID,IPAddress,Status,StartDate,EndDate,Finished,workerId,site,condition,RFQ_M_1,RFQ_M_2,RFQ_M_3,RFQ_M_4,RFQ_M_5,RFQ_M_6,RFQ_M_7,RFQ_M_8,RFQ_M_9,RFQ_M_10,RFQ_M_11,RFQ_M_12,RFQ_M_13,RFQ_M_14,RFQ_M_15,site_choice,profile_num,profile_interest_num,attn_check_2,attn_check_3,engage_1,engage_2,engage_3,engage_4,engage_5,ease_1,ease_2,ease_3,ease_4,ease_5,ease_6,ease_7,ease_8,success_1,success_2,success_3,success_4,success_5,success_6,partner_1,partner_2,partner_3,partner_4,partner_5,partner_6,partner_7,partner_8,age,gender,gender-TEXT,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,ethnicity_7,ethnicity_8,ethnicity_9,ethnicity_10,ethnicity_11,education,activity_1,activity_2,activity_3,activity_4,activity_5,activity_6,activity_7,activity_8,mc_compliance,mc_strategy,mc_strategy_use,careful_response,honest_response,debrief_concerns,debriefing,attn_check,exclusion,prevention,promotion,engage,ease,fit_success,fit_partner,activity_distraction
R_3J94on4cbCE2dJV,NA,1,2018-11-21T15:48:24Z,2018-11-21T16:18:17Z,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,fail,ineligible,NaN,NaN,NaN,NaN,NaN,NaN,0
R_3O3ooNAd1HeHch1,NA,1,2018-11-21T21:56:03Z,2018-11-21T22:09:53Z,1,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,fail,ineligible,NaN,NaN,NaN,NaN,NaN,NaN,0
R_3R7TaWFr8xejwqS,725103d6,0,2018-11-21T22:10:57Z,2018-11-21T22:23:09Z,1,NA,"Bumble, OkCupid",-1,3,6,2,4,4,4,6,4,2,4,1,6,6,3,3,okc,0,0,1,4,1,1,1,4,4,1,1,1,1,4,4,4,4,1,1,1,4,4,4,1,1,1,1,1,1,1,1,26,female,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,1,undesirable,1,1,2,none,1,fail,ineligible,4.142857142857143,3.625,1,5,1,1,0
R_OPAWmxy3iATDM3L,45ef1e05,0,2018-11-21T22:23:42Z,2018-11-21T22:41:49Z,1,f27bd7a0,Plenty of Fish,1,2,2,2,6,5,2,6,6,6,5,6,6,6,6,5,pof,15,3,2,10,6,7,6,9,9,7,3,6,2,9,9,5,5,5,5,6,8,9,8,6,6,6,5,7,6,4,4,37,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,using desirable traits; i varied the traits that i was looking for but all were desirable,1,1,1,NA,1,pass,eligible,3.5714285714285716,5.75,6.333333333333333,6,5.333333333333333,5.714285714285714,0
R_1fZRDQVOftGgqTj,1376c290,0,2018-11-21T23:11:56Z,2018-11-21T23:45:59Z,1,f2451704,"Badoo, Plenty of Fish, SKOUT",1,4,4,3,7,6,4,4,7,7,7,7,7,7,7,7,pof,15,1,2,10,6,7,7,10,10,7,1,7,1,10,10,4,4,6,6,6,10,10,10,6,6,7,7,7,7,7,7,24,female,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,I did a basic search for people who were in a certain mile radius from my location and with my same orientation.,1,1,1,Thank you.,1,pass,eligible,4.571428571428571,7,6.666666666666667,7,6.5,6.714285714285714,0
R_2uDjw5hiS5zAp0B,9136c825,0,2018-11-22T00:31:36Z,2018-11-22T01:02:32Z,1,5129068f,Plenty of Fish,-1,5,5,5,5,6,5,5,5,6,5,6,5,6,5,5,pof,13,7,2,10,5,5,5,8,8,6,2,6,3,9,9,6,5,5,4,6,9,8,7,6,6,7,5,7,7,5,5,22,male,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,1,Looked for undesirable traits,NA,1,1,NA,1,pass,eligible,5.142857142857143,5.375,5,5.666666666666667,5,6.142857142857143,1
R_ByQ8XmyWmT6iAmd,3f1f7fcb,0,2018-11-22T00:59:18Z,2018-11-22T01:31:33Z,1,4829ece7,"Chemistry, eHarmony, JDate, OurTime, Pure",1,6,6,6,7,5,7,6,7,7,6,5,6,6,5,6,pof,3,2,2,10,6,7,7,10,9,6,5,6,7,10,9,8,9,5,6,6,8,9,10,7,7,5,6,6,6,5,6,34,male,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,NA,1,1,NA,1,NA,2,I very careful in  browsing page.,3,1,1,This study is different and interesting.,1,fail,ineligible,6.142857142857143,6,6.666666666666667,3.3333333333333335,5.833333333333333,6.142857142857143,4
R_12J4n6i5XkCaN0D,99c924e6,0,2018-11-22T02:50:19Z,2018-11-22T03:18:54Z,1,8f338851,"eHarmony, Plenty of Fish, Tinder",-1,4,5,4,6,6,1,6,5,6,6,5,7,5,7,6,pof,15,2,2,10,6,6,4,9,9,6,2,6,2,9,9,5,5,6,4,5,8,8,9,5,6,5,6,6,5,5,6,30,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,1,1,"Looked for a specific nage range, weeded out people who smoked or did drugs.",1,1,1,None.,1,pass,eligible,4.571428571428571,5.875,5.333333333333333,6,5.166666666666667,5.571428571428571,1
R_33228QCr227b3iV,0cbd7b7e,0,2018-11-22T02:58:30Z,2018-11-22T03:26:44Z,1,c31af3ae,"Bumble, OkCupid, eHarmony, HeartBroker, Match.com/ca, Plenty of Fish, Tinder",1,6,3,6,7,7,7,7,6,7,6,7,6,7,7,7,eharm,5,1,2,10,7,7,7,10,10,7,1,7,2,10,10,4,4,7,7,7,10,10,10,7,7,7,7,7,7,7,6,26,female,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,desirable,2,1,1,NA,1,pass,eligible,6.142857142857143,6.625,7,6.666666666666667,7,6.857142857142857,0
R_3mg8HlEaaJ13uoU,0f40c8d5,0,2018-11-22T03:14:19Z,2018-11-22T03:30:48Z,1,00cb5f15,Plenty of Fish,-1,4,1,1,7,7,1,1,7,7,7,7,7,7,7,7,pof,15,2,2,10,4,7,4,10,7,7,1,7,1,10,10,4,4,7,7,7,10,10,10,7,7,7,7,7,7,7,7,33,male,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,I looked at multiple profiles and evaluated what each of them said. I looked at the pictures of the girls and imagined going on a date with them. I thought about what my friends would say or think if I dated them.,1,1,1,NA,1,pass,eligible,3.142857142857143,7,5,7,7,7,0
