ResponseID,IPAddress,Status,StartDate,EndDate,Finished,MTurkCode,workerId,site,hitId,assignmentId,condition,trait,consent,attn_check_1_1,attn_check_1_2,attn_check_1_3,attn_check_1_4,attn_check_1_5,attn_check_1_6,attn_check_1_7,RFQ_M_1,RFQ_M_2,RFQ_M_3,RFQ_M_4,RFQ_M_5,RFQ_M_6,RFQ_M_7,RFQ_M_8,RFQ_M_9,RFQ_M_10,RFQ_M_11,RFQ_M_12,RFQ_M_13,RFQ_M_14,RFQ_M_15,site_choice,multitab_faq,profile_num,profile_interest_num,attn_check_2,attn_check_3,engage_1,engage_2,engage_3,engage_4,ease_1,ease_2,ease_3,ease_4,ease_5,success_1,success_2,success_3,success_4,success_5,success_6,partner_1,partner_2,partner_3,partner_4,partner_5,partner_6,partner_7,suc_1,suc_2,suc_3,suc_4,suc_5,suc_6,suc_7,suc_8,suc_9,suc_10,panas_1,panas_2,panas_3,panas_4,panas_5,panas_6,panas_7,panas_8,panas_9,panas_10,panas_11,panas_12,panas_13,panas_14,panas_15,panas_16,panas_17,panas_18,panas_19,panas_20,age,gender,gender-TEXT,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,ethnicity_7,ethnicity_8,ethnicity_9,ethnicity_10,ethnicity_11,education,activity_1,activity_2,activity_3,activity_4,activity_5,activity_6,activity_7,activity_8,mc_compliance,mc_strategy,mc_strategy_use,trait-trait 1,trait-trait 2,trait-trait 3,careful_response,honest_response,debrief_concerns,debriefing,prevention,promotion,engage,ease,fit_success,fit_partner,ods,activity_distraction,pos_af,neg_af,duplicate,attn_check_1,attn_check,manip_check,exclusion
R_2wTR5Zp0yVqZ6qy,719d2357,0,2019-01-23T21:59:54Z,2019-01-23T22:16:25Z,1,73456485,c70202cf,"Badoo, Bumble, Coffee Meets Bagel, OkCupid, eHarmony, JDate, Match.com/ca, OurTime, Plenty of Fish, Pure, Tinder, Zoosk",3ATYLI1PRT3RLU7X8O5MWU8BM0UJOY,3JAOYWH7VI5XVHPLZM3I33L2ADS9LU,desirable_compile,desirable,1,NA,NA,NA,NA,NA,NA,NA,4,7,4,6,5,5,5,6,4,5,6,5,3,5,5,okc,NA,25,2,2,10,3,4,5,4,5,5,5,4,5,7,8,9,8,9,8,6,6,5,4,6,5,5,13,14,15,14,14,15,14,14,12,14,3,2,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,20,male,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_compile,1,hobby,personality,appearance,1,1,NA,1,5.142857142857143,4.875,4,4,5.166666666666667,5.333333333333333,3.7,0,1.6,1.1,nonduplicated,0,pass,pass,eligible
R_3CP2xcwtVO57r5O,00834b0d,0,2019-01-23T22:02:05Z,2019-01-23T22:19:48Z,1,48796281,08e5b850,OkCupid,3GONHBMNHVZTL6RPDUTVSK7WAYSZMK,3XM0HYN6NK04HYV0ZPCBCYVX6K9PEI,desirable_eliminate,desirable,1,NA,NA,NA,NA,NA,NA,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,okc,NA,20,5,2,10,7,7,7,4,7,7,7,1,6,8,8,10,10,10,10,7,7,7,7,7,7,7,17,17,11,15,17,17,11,15,17,11,5,1,5,1,4,2,2,1,5,5,1,3,1,4,3,5,5,3,5,1,24,female,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,1,1,compliant,desirable_eliminate,2,handsome,kind,no kids,1,1,NA,1,7,7,7,5,6.333333333333333,7,6.6,2,4.6,1.6,nonduplicated,1,fail,pass,ineligible
R_2wKsj8fZa5iGWZQ,4c1640d5,0,2019-01-23T22:04:59Z,2019-01-23T22:23:12Z,1,23564573,8a282a36,"Bumble, OkCupid, Tinder",3ATYLI1PRT3RLU7X8O5MWU8BM0UOJ3,3WYGZ5XF3WG4GQ32NSR85YDDD1CKSD,undesirable_compile,undesirable,1,NA,NA,NA,NA,NA,NA,NA,6,4,3,6,6,2,5,6,6,6,6,6,4,6,6,okc,NA,30,12,2,10,6,7,5,6,7,1,6,1,1,8,8,8,8,8,8,5,5,4,6,6,5,6,14,15,13,12,15,15,12,14,15,13,3,1,2,1,2,1,1,1,3,1,1,3,1,2,1,3,3,1,2,1,28,female,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_compile,3,unattractive,low match percentage,not very revealing on profile,1,1,NA,1,4.571428571428571,5.75,6,7,5,5.166666666666667,4.6,0,2.4,1,nonduplicated,0,pass,fail,eligible
R_yZVN8eixR7vlyMh,0da57302,0,2019-01-23T22:01:21Z,2019-01-23T22:23:20Z,1,10665075,eabcd00a,"OkCupid, eHarmony, Grindr, Match.com/ca, Tinder",3FTID4TN8LZ9AYZZHWQXE0J54ZYLYD,3OLQQLKKNSQ8VNS24C7RF29LXL3JEC,undesirable_eliminate,undesirable,1,NA,NA,NA,NA,NA,NA,NA,5,4,4,5,5,5,5,5,5,5,4,6,6,5,5,eharm,1,12,4,2,10,6,6,7,6,6,2,6,2,4,9,8,9,9,8,9,6,6,6,7,6,7,6,16,15,16,15,16,16,15,16,16,15,5,1,5,2,4,3,2,1,5,4,2,5,2,4,3,5,5,2,5,2,37,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_eliminate,1,happy,pretty,fun,1,1,loved it,1,4.714285714285714,5.125,6.333333333333333,6,5.666666666666667,6.333333333333333,4.8,0,4.7,2,nonduplicated,0,pass,fail,eligible
R_1q8nxWz28LY4DIe,1b7911b0,0,2019-01-23T22:02:48Z,2019-01-23T22:23:26Z,1,41775325,05b068c2,"OkCupid, Grindr, Tinder",3ATYLI1PRT3RLU7X8O5MWU8BM0UOJ3,3WMINLGALB4IXW5KEFOJWF6ZMMWACU,desirable_eliminate,desirable,1,NA,NA,NA,NA,NA,NA,NA,3,2,1,4,7,1,3,6,7,4,5,5,5,7,5,okc,NA,7,3,2,10,6,6,6,6,7,2,5,1,2,7,7,8,9,8,8,6,6,7,6,7,6,6,11,11,14,11,15,13,16,14,15,15,4,2,4,1,5,1,1,1,3,2,1,3,1,3,1,5,4,1,1,1,22,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_eliminate,1,cute,smart,quirky,1,1,NA,1,3,5.5,6,6.666666666666667,4.833333333333333,6.333333333333333,2.9,0,3.4,1.1,nonduplicated,0,pass,pass,eligible
R_3QFu7N8P6QVxoFD,9646ed46,0,2019-01-23T22:06:11Z,2019-01-23T22:23:47Z,1,6635371,1ca16673,"Coffee Meets Bagel, OkCupid, eHarmony",30IRMPJWDZKPTR5VI1M2R4DTCCERKE,3TEM0PF1Q5YW1BDGM9M1RFC4Y0X0DU,desirable_compile,desirable,1,NA,NA,NA,NA,NA,NA,NA,6,6,4,6,6,7,3,7,7,7,7,7,7,7,7,eharm,NA,75,5,2,10,7,7,7,7,7,4,7,2,5,9,9,10,9,10,9,6,6,6,6,7,7,6,17,17,12,17,16,15,13,17,17,12,4,2,4,1,3,1,1,1,5,2,1,3,1,4,1,5,5,2,4,1,29,female,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,1,compliant,desirable_compile,2,Religious,Adventurous,Attractive,1,1,NA,1,5.428571428571429,7,7,5.666666666666667,6.333333333333333,6.333333333333333,6.3,1,3.9,1.2,nonduplicated,0,pass,pass,eligible
R_7NBHkkMujaC53Ud,af363e85,0,2019-01-23T22:09:48Z,2019-01-23T22:25:33Z,1,38937600,d646ebd8,"OkCupid, Zoosk",3MD8CKRQZZOUI7ZD0GMQQPDGXNERJF,3HUTX6F6VUOU1I7JR54VLXHIZCNO2Y,undesirable_compile,undesirable,1,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,5,6,3,5,7,6,4,4,5,7,6,okc,NA,15,3,2,10,5,4,5,2,7,4,6,4,2,4,9,7,8,9,8,4,5,5,6,5,5,6,15,16,13,16,17,17,12,16,16,11,5,1,3,1,4,1,1,1,1,4,1,1,1,4,1,3,4,1,4,1,30,female,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,compliant,undesirable_eliminate,2,depending,extrovert,pansexual,1,1,NA,1,4.571428571428571,5.5,4.666666666666667,5,4.5,5,6.1,1,3.3,1,nonduplicated,0,pass,fail,eligible
R_3smOK0QS0rY9vJb,7517eb31,0,2019-01-23T22:03:12Z,2019-01-23T22:25:33Z,1,44574398,ec13b3e0,"OkCupid, Tinder",32ZCLEW0BZL96UJYNOI1LUD1W5QJPF,3GD6L00D3SYZCU4BVLP4OAI8C6UM10,desirable_compile,desirable,1,NA,NA,NA,NA,NA,NA,NA,6,2,4,6,6,3,4,6,7,4,4,5,4,7,4,okc,NA,5,2,2,10,5,5,2,3,4,6,6,4,4,7,7,8,7,7,7,7,7,5,5,7,7,4,15,15,12,15,15,15,14,15,15,12,3,2,1,1,2,1,1,1,2,3,1,2,1,3,1,2,2,1,1,1,33,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_compile,2,non-monogamous,queer,atheist/agnostic,1,1,NA,1,4.428571428571429,5.125,4,3.3333333333333335,4.166666666666667,6.333333333333333,5.1,0,2.1,1.1,nonduplicated,0,pass,pass,eligible
R_3h0b4Xhjs6ZVSj9,bd3ae691,0,2019-01-23T22:09:17Z,2019-01-23T22:26:30Z,1,95352379,1d8ad801,"Grindr, Plenty of Fish, Tinder",3XEIP58NL0O9FO94DISGS7S7AT2ZLI,3FE7TXL1LIOXMUKZ6IWZA2CIED62QL,desirable_eliminate,desirable,1,NA,NA,NA,NA,1,NA,NA,6,5,5,5,6,6,6,5,5,4,4,4,4,5,5,pof,1,20,7,5,8,5,6,4,4,5,4,5,4,5,7,8,7,8,7,8,5,5,5,5,4,6,4,14,14,15,15,15,15,15,15,15,14,4,3,2,4,3,3,2,3,4,3,4,4,2,2,3,3,3,2,2,3,19,male,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,compliant,desirable_eliminate,NA,athletic,loyal,funny,1,1,NA,1,5.571428571428571,4.5,5,4.333333333333333,4.5,5,4.3,1,3,2.9,nonduplicated,1,fail,pass,ineligible
R_2c1oFNAcWYvXKo6,51f13010,0,2019-01-23T22:08:52Z,2019-01-23T22:29:00Z,1,36396439,4871ab3a,"OkCupid, eHarmony, Plenty of Fish",3GONHBMNHVZTL6RPDUTVSK7WAYSZMK,3WAKVUDHUWHW0OOMT3XZGUQFSEY7UB,undesirable_eliminate,undesirable,1,NA,NA,NA,NA,NA,NA,NA,2,4,7,6,4,2,5,6,6,6,6,6,6,6,6,okc,NA,20,3,2,10,6,7,7,6,6,2,7,1,6,10,10,10,10,9,10,7,6,6,6,6,7,7,16,17,11,16,17,17,12,17,16,11,4,1,5,1,4,1,1,1,4,4,1,5,4,4,1,4,4,1,4,1,29,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Latino,5,NA,NA,NA,NA,NA,NA,NA,NA,compliant,undesirable_eliminate,1,smoker,wanted children,chubby,1,1,none.,1,4.285714285714286,6,6.666666666666667,6.333333333333333,6.833333333333333,6.333333333333333,6.6,0,4.2,1.3,nonduplicated,0,pass,pass,eligible
