PROLIFIC_PID,Current_use,Past_use,site_1,site_2,site_3,site_4,site_5,site_6,site_7,site_8,site_9,site_10,site_11,site_12,site_13,site_14,site_15,site_16,site_other,site_other_TEXT,ResponseID,Status,StartDate,EndDate,Finished,attn_check,Excluded,attn_check_1,RFQ_M_1,RFQ_M_2,RFQ_M_3,RFQ_M_4,RFQ_M_5,RFQ_M_6,RFQ_M_7,RFQ_M_8,RFQ_M_9,RFQ_M_10,RFQ_M_11,RFQ_M_12,RFQ_M_13,RFQ_M_14,RFQ_M_15,engage_1,engage_2,engage_3,ease_1,ease_2,ease_4,info_1,info_2,info_3,info_4,info_5,info_6,infoPref_1,infoPref_2,infoPref_3,infoPref_4,infoPref_5,infoPref_6,infoPref_7,infoPref_8,infoPref_9,attn_check_2,attn_check_3,suc_1,suc_2,suc_3,suc_4,suc_5,suc_6,suc_7,suc_8,suc_9,suc_10,bis_1,basD_1,basR_1,basF_1,basR_2,bis_2,basD_2,basF_2,basD_3,bis_3,basR_3,basF_3,bis_4,basR_4,bis_5,basF_4,basD_4,bis_6,basR_5,bis_7,RFQ_1,RFQ_2,RFQ_3,RFQ_4,RFQ_5,RFQ_6,RFQ_7,RFQ_8,RFQ_9,RFQ_10,RFQ_11,age,gender,gender-TEXT,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,ethnicity_7,ethnicity_8,ethnicity_9,ethnicity_other,ethnicity_other_txt,education,careful_response,honest_response,X126,attention_check,duration,response_time,consistency_suc,response_consistency,exclusion,prevention,promotion,bis,bas_drive,bas_reward,bas_fun,bas,rfq_prom,rfq_prev,engage,ease,info_adequacy,info_preference,ods
a4493a59,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,R_xrAyXgECovDbyrn,0,2020-01-19T19:05:45Z,2020-01-19T19:10:10Z,1,0,NA,NA,5,4,3,4,5,2,4,6,5,5,5,6,5,6,4,5,7,5,5,4,3,2,3,3,3,4,6,6,3,6,2,5,5,6,5,4,2,7,2,5,6,2,4,2,6,3,2,6,4,4,6,7,5,2,3,5,5,2,6,5,2,5,3,6,4,5,6,4,4,3,5,4,3,4,4,2,3,3,5,19,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,pass,265,less_than_six,11,consistent,ineligible,3.857142857142857,5.25,2.857142857142857,4,5.6,5.75,5.153846153846154,4,3.2,5.666666666666667,4.666666666666667,3.8333333333333335,5.333333333333333,2.6
f38f639e,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,R_1o5y9OqJMG1C2r9,0,2020-01-19T19:05:52Z,2020-01-19T19:13:53Z,1,0,NA,NA,1,1,1,1,3,1,1,1,3,2,1,7,5,5,1,4,2,2,7,1,1,2,1,4,4,1,4,4,2,5,3,4,4,4,5,4,2,7,7,7,1,6,1,6,1,2,6,6,4,3,7,7,5,4,3,2,4,5,4,3,3,6,7,2,3,6,6,4,5,4,4,4,4,4,5,3,5,3,4,25,male,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,pass,481,greater_than_six,15,consistent,eligible,1.2857142857142858,3.125,4.142857142857143,3.25,5.6,3.5,4.230769230769231,4.333333333333333,3.8,2.6666666666666665,7,2.6666666666666665,4.555555555555555,5.1
aa43b8b5,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,R_1eIR1bmxUqgGKZY,0,2020-01-19T19:06:00Z,2020-01-19T19:14:54Z,1,0,NA,NA,4,6,3,4,5,3,3,4,5,4,3,6,5,5,4,3,3,4,3,5,5,4,4,2,5,3,4,5,2,7,3,6,6,5,6,6,2,7,3,3,5,3,3,4,5,3,2,5,2,4,5,3,4,3,3,3,3,5,3,2,5,3,6,3,2,4,4,6,3,3,4,2,4,3,3,4,3,3,2,37,male,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,1,1,NA,pass,534,greater_than_six,6,consistent,eligible,4,4.5,5,3,3.8,2.75,3.230769230769231,3,3.2,3.3333333333333335,3,3.3333333333333335,5.777777777777778,3
be56d815,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,R_2Y4h0xylUTdiJBg,0,2020-01-19T19:06:01Z,2020-01-19T19:11:18Z,1,0,NA,NA,4,4,4,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,6,3,2,5,5,5,4,5,5,5,4,6,3,5,5,5,5,5,2,7,4,4,4,4,4,4,4,4,4,4,3,5,5,5,5,5,3,5,5,5,5,5,5,5,5,4,4,3,5,5,2,3,3,3,4,3,3,3,3,3,3,42,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,NA,pass,317,less_than_six,0,inconsistent,ineligible,4.142857142857143,5,5,4.25,5,4.75,4.6923076923076925,2.8333333333333335,3.2,5,5.666666666666667,4.833333333333333,5,4
3d8ea0fb,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,R_3sytsQk2FJc0xYC,0,2020-01-19T19:06:11Z,2020-01-19T19:26:24Z,1,0,NA,NA,4,3,1,3,7,6,2,5,7,6,2,6,6,6,5,6,7,7,7,1,1,4,4,5,3,4,4,5,3,5,2,6,6,6,7,7,2,7,6,5,1,6,6,4,2,5,5,1,2,3,6,3,5,6,4,2,4,5,3,3,5,6,7,2,3,3,6,NA,2,4,2,5,4,3,2,4,2,2,2,28,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,pass,1213,greater_than_six,13,consistent,eligible,3.7142857142857144,5.375,5.666666666666667,3.5,5.2,2.5,3.8461538461538463,2,4,6.666666666666667,7,4.333333333333333,5.888888888888889,5.7
65bacd0e,2,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,R_1ocI14ckLtPUk0t,0,2020-01-19T19:06:10Z,2020-01-19T19:11:56Z,1,0,NA,NA,4,6,5,1,3,7,6,2,7,1,3,6,5,5,6,5,7,6,7,4,2,2,2,1,5,3,2,6,2,7,2,6,6,6,7,6,2,7,2,6,4,3,3,3,5,5,4,5,2,5,7,6,6,7,4,5,6,5,6,6,3,7,7,7,4,5,7,7,3,4,4,1,4,3,3,3,1,5,3,18,female,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,pass,346,less_than_six,4,consistent,ineligible,4.571428571428571,4.375,5.428571428571429,4.75,6.6,6,5.846153846153846,3.1666666666666665,3,6,5.666666666666667,2.1666666666666665,6.222222222222222,3.6
c791dddc,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,R_3NCAFEtVdjpHPTS,0,2020-01-19T19:06:16Z,2020-01-19T19:22:53Z,1,0,NA,NA,4,6,3,6,5,3,3,5,6,6,5,6,5,6,5,5,6,5,5,3,3,5,5,5,3,5,5,5,5,5,3,6,7,5,6,5,2,7,5,5,3,5,5,5,3,5,5,3,6,5,6,5,6,5,6,5,5,6,6,5,5,5,6,6,5,5,5,5,2,2,4,3,4,2,3,2,2,3,3,26,male,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,pass,997,greater_than_six,6,consistent,eligible,4.285714285714286,5.5,4.571428571428571,5.25,5.6,5.25,5.384615384615385,2.8333333333333335,2.6,5.333333333333333,5,5,5.222222222222222,5
f04f8f35,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,R_2Yof93UlUgg97Rt,0,2020-01-19T19:06:19Z,2020-01-19T19:20:57Z,1,0,NA,NA,2,4,5,1,5,7,3,4,5,2,1,5,4,1,1,3,5,5,2,4,1,1,3,4,6,3,3,3,4,5,4,5,6,1,2,4,2,7,2,1,6,1,2,4,7,1,3,7,4,3,7,4,7,3,5,4,6,1,5,4,3,1,4,6,6,6,7,5,3,3,3,3,5,2,3,4,2,2,1,33,male,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,NA,pass,878,greater_than_six,16,consistent,eligible,3.857142857142857,2.875,3.142857142857143,5,5.4,4.5,5,2.3333333333333335,3.4,4.333333333333333,4.333333333333333,2.6666666666666665,3.7777777777777777,1.8
57ca03e7,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R_3eeKXsAxXx8Nacv,0,2020-01-19T19:06:19Z,2020-01-19T19:17:46Z,1,0,NA,NA,1,1,2,6,6,3,3,6,7,6,7,7,6,6,6,3,4,5,7,5,1,2,2,2,6,3,4,7,1,7,1,6,7,7,7,7,2,7,5,5,3,6,2,5,2,6,4,2,1,7,7,7,7,7,7,6,6,5,6,2,7,7,7,6,6,4,6,7,3,4,4,4,5,4,4,4,3,4,3,36,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,NA,pass,687,greater_than_six,10,consistent,eligible,3.142857142857143,6.375,6.285714285714286,6.5,6.6,5.25,6.153846153846154,3.5,4.2,4,5.666666666666667,2.5,6.888888888888889,5
abd774ee,2,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,R_1mXf1BO9YtIS3Se,0,2020-01-19T19:06:32Z,2020-01-19T19:23:25Z,1,0,NA,NA,2,3,7,5,6,5,5,5,7,5,4,4,6,6,7,4,4,4,6,2,5,2,3,1,4,2,4,6,1,6,2,6,1,7,7,7,2,7,5,5,4,5,4,4,2,5,2,3,3,5,6,4,5,4,7,7,6,4,5,4,5,7,5,6,6,4,5,6,3,3,4,1,2,3,4,3,2,2,1,27,male,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,1,1,NA,pass,1013,greater_than_six,6,consistent,eligible,4.714285714285714,5.5,4.714285714285714,6,5.6,5.25,5.615384615384615,2.6666666666666665,2.4,4,5,2.6666666666666665,5.888888888888889,4.5
